Year	Disrupt
1979	97
1981	75
1984	84
1985	98
1988	91
1989	96
1990	59
1990	88
1990	93
1991	56
1991	80
1992	95
1993	77
1994	75
1994	93
1995	81
1995	86
1995	84
1995	93
1995	88
1995	95
1995	91
1995	97
1996	46
1996	59
1996	88
1997	74
1997	95
1997	95
1998	38
1998	77
1998	90
1998	78
1998	90
1998	84
1999	75
1999	75
2000	86
2000	75
2000	90
2001	72
2001	81
2001	84
2001	90
2001	87
2001	88
2001	94
2002	97
2003	62
2003	77
2004	84
2004	62
2004	75
2004	68
2004	75
2004	78
2004	86
2004	97
2005	68
2005	65
2005	62
2005	86
2005	84
2006	38
2006	81
2006	88
2006	84
2007	62
2007	59
2007	55
2007	77
2007	81
2007	91
2007	96
2008	80
2008	75
2008	84
2008	84
2008	90
2008	93
2009	28
2009	72
2009	78
2009	81
2009	75
2009	84
2009	81
2009	97
2010	34
2010	75
2010	77
2010	75
2010	77
2011	24
2011	62
2011	56
2011	93
2012	56
2012	68
2012	80
2012	74
2012	88
2012	91
2012	91
2012	93
2012	90
2012	93
2013	72
2013	84
2013	80
2014	62
2014	80
2014	91
2014	78
2014	92
2015	55
2015	68
2015	94
2015	84
2015	94